AGI,logFC,logCPM,LR,PValue,FDR,symbol2,full_name
AT3G05690,4.425951930315755,5.667107295809856,190.48231893283364,2.4948929980718156e-43,1.374317942970642e-40,ATHAP2B;AtNF-YA2;HAP2B;NF-YA2;UNE8,"HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 2B;NA;HEME ACTIVATOR PROTEIN (YEAST) HOMOLOG 2B;nuclear factor Y, subunit A2;UNFERTILIZED EMBRYO SAC 8"
AT2G31085,-4.648379236756563,3.363649033091229,190.3756335965486,2.6323204583511446e-43,1.4266327748631477e-40,AtCLE6;CLE6,NA;CLAVATA3/ESR-RELATED 6
AT5G54040,2.2573719008005297,5.528171378557453,188.34708961195057,7.296822258442268e-43,3.891870182986938e-40,NA,NA
AT4G02380,-4.68528577312598,10.126684654350605,184.1142654310171,6.125816104853546e-42,3.216244886801388e-39,AtLEA5;LEA38;SAG21,Arabidopsis thaliana late embryogenensis abundant like 5;late embryogenesis abundant 38;senescence-associated gene 21
AT3G14067,1.6365705288372687,7.331414204868726,182.75116707646205,1.2154959315886201e-41,6.283552968190894e-39,SASP,Senescence-Associated Subtilisin Protease
AT5G26200,-7.716817429480465,4.5797843424276445,181.40559926460443,2.3907128801938694e-41,1.217162639398097e-38,NA,NA
AT1G70780,-2.1165584505309916,7.282517821388741,180.40351203623786,3.9565604290167343e-41,1.955122699056181e-38,NA,NA
AT1G70782,-2.1165584505309916,7.282517821388741,180.40351203623786,3.9565604290167343e-41,1.955122699056181e-38,NA,NA
AT4G37300,-3.102479624372336,6.165605511351299,179.10223730270388,7.610987112234235e-41,3.7064404194970257e-38,MEE59,maternal effect embryo arrest 59
AT1G62262,3.111371722419068,2.616734229079103,178.435653699548,1.0641152057214501e-40,5.108057020378881e-38,SLAH4,SLAC1 homologue 4
AT2G41560,-2.4627249305707175,6.910608648215589,178.04640154503045,1.2941443498412796e-40,6.124765977938969e-38,ACA4,"autoinhibited Ca(2+)-ATPase, isoform 4"
AT1G77760,-5.321800348308473,10.976295853625187,177.9391276893217,1.3658606183138571e-40,6.37439562452531e-38,GNR1;NIA1;NR1,NA;nitrate reductase 1;NITRATE REDUCTASE 1
AT4G32940,3.03668144810711,7.9784961499688265,177.03977679176555,2.146773314325948e-40,9.88162697369596e-38,AEP3;AtLEG gamma;GAMMA-VPE;GAMMAVPE;LEG gamma,asparaginyl endopeptidase 3;NA;gamma vacuolar processing enzyme;NA;legumain gamma
AT5G19140,2.7127645323304277,6.404054594318118,176.99053410967002,2.2005885221677822e-40,9.992456151605651e-38,AILP1;ATAILP1,NA;NA
AT5G01740,-5.707509075199167,5.3719735485572535,176.17970071069377,3.308226063751079e-40,1.4821734959221833e-37,NA,NA
AT1G59960,-1.9680556398584867,6.454815106561357,174.48907971747386,7.740685823783571e-40,3.4224016454049416e-37,NA,NA
AT4G28410,-2.8849519764234914,6.204033620785158,174.31459752435293,8.450503620812478e-40,3.687711982682349e-37,RSA1,Root System Architecture 1
AT5G10210,-7.1708775984243385,6.055275852578897,173.8272013598774,1.0797433576981792e-39,4.6514790135095145e-37,NA,NA
AT3G57630,2.417925369573639,5.243224702714715,171.23901397397287,3.9678851063974604e-39,1.687707282850221e-36,ExAD,Extensin Arabinose Deficient transferase
AT4G39800,2.5666940006599877,7.044296999043694,171.06883690865695,4.322410645112264e-39,1.8155205312132788e-36,ATIPS1;ATMIPS1;MI-1-P SYNTHASE;MIPS1;MIPS1,INOSITOL 3-PHOSPHATE SYNTHASE 1;MYO-INOSITOL-1-PHOSPHATE SYNTHASE 1;NA;D-myo-Inositol 3-Phosphate Synthase 1;myo-inositol-1-phosphate synthase 1
AT2G22122,-6.505294003049849,8.650387100523593,168.18023732824813,1.847706779695453e-38,7.665017680410693e-36,NA,NA
AT1G48600,-1.7061848813122271,9.448784168917006,166.8117792332543,3.677422228423232e-38,1.5069358746277735e-35,AtPMEAMT;AtPMT2;PMEAMT,NA;Phosphoethanolamine methyltransferase2;phosphoethanolamine N-methyltransferase
AT1G60140,-2.155138789624938,7.9883999470641625,166.71276724882506,3.865192261808066e-38,1.564797474473188e-35,ATTPS10;TPS10;TPS10,trehalose phosphate synthase;trehalose phosphate synthase;TREHALOSE PHOSPHATE SYNTHASE 10
AT4G25010,4.868736489525168,1.5761217444415812,166.62420705526054,4.0412502144294617e-38,1.6165963060149855e-35,AtSWEET14;SWEET14,NA;NA
AT2G26980,-3.2358895396518026,7.458541609737913,164.7449747516405,1.0399679092419506e-37,4.1111766689821205e-35,CIPK3;SnRK3.17,CBL-interacting protein kinase 3;SNF1-RELATED PROTEIN KINASE 3.17
AT3G59580,10.69516106313711,1.8803147295855682,163.29627393216225,2.155244622541022e-37,8.420991837979467e-35,NLP9,NIN-like protein 9
AT3G46880,-8.46703130330006,3.0572281519458784,163.22542463746373,2.233440630566361e-37,8.626215180263318e-35,NA,NA
AT3G01990,4.090272669417971,1.2658168775848333,163.05449648737994,2.4339732172669998e-37,9.293905459841559e-35,ACR6,ACT domain repeat 6
AT5G06510,4.942414656498748,3.8231621996519904,162.73653201923355,2.8561414518047897e-37,1.0783378097027477e-34,NF-YA10,"nuclear factor Y, subunit A10"
AT3G49940,-2.73972176062172,6.891658815424455,161.30147052292494,5.8789488304555535e-37,2.194938206677417e-34,LBD38,LOB domain-containing protein 38
AT1G80380,-4.772840784024281,8.589181009450478,161.1910422552953,6.214780517743694e-37,2.29482477974971e-34,GLYK,glycerate kinase
AT5G47560,-3.1909944470207527,5.556946202039739,161.0763155211273,6.5840199116651164e-37,2.4047417073018613e-34,ATSDAT;ATTDT;TDT,NA;TONOPLAST DICARBOXYLATE TRANSPORTER;tonoplast dicarboxylate transporter
AT2G02610,2.2197136950338594,5.0835072192959645,159.71305915687665,1.3071992663655942e-36,4.723065564345882e-34,NA,NA
AT5G15860,2.069426477176819,4.482692694676844,158.89946006390147,1.96837613980625e-36,7.0363164946563415e-34,ATPCME;ICME;PCME,prenylcysteine methylesterase;Isoprenylcysteine methylesterase;prenylcysteine methylesterase
AT5G19600,-4.641874990526014,6.687168823884669,152.97337925049953,3.882315581609983e-35,1.3731954544553543e-32,SULTR3;5,sulfate transporter 3;5
AT1G63940,-1.9937211471838872,8.476923552400327,147.72498410038736,5.448144908842472e-34,1.8922805473671808e-31,MDAR6,monodehydroascorbate reductase 6
AT5G65207,-3.1353500585239176,7.191923950949761,147.71975312140518,5.4625085737341984e-34,1.8922805473671808e-31,NA,NA
AT5G48010,3.4795873202488865,2.6295113715611453,147.5122845376902,6.06379558865196e-34,2.0791393813253385e-31,AtTHAS1;THAS;THAS1,Arabidopsis thaliana thalianol synthase 1;THALIANOL SYNTHASE;thalianol synthase 1
AT4G13510,2.040848503391478,8.401652481941083,145.74427962702066,1.476541718035234e-33,5.011591394890903e-31,AMT1;1;ATAMT1;ATAMT1;1,ammonium transporter 1;1;ARABIDOPSIS THALIANA AMMONIUM TRANSPORT 1;NA
AT3G14070,2.089340998074917,2.5666917074719673,145.6276859543672,1.5657960503571335e-33,5.2613878884100395e-31,ATCCX3;CAX9;CCX3,CATION CALCIUM EXCHANGER 3;cation exchanger 9;CATION CALCIUM EXCHANGER 3
AT2G25450,-2.5146285713586525,7.331871754356865,143.06132844847548,5.699303160420731e-33,1.8961186613510634e-30,GSL-OH,glucosinolate hydroxylase
AT4G11393,-7.671450850742541,4.7541124025144015,142.7395316135493,6.701645187162759e-33,2.2077321723435592e-30,DEFL202,Defensin like 202
AT2G23600,-2.547849481075001,3.862065964286763,142.2644871177349,8.512362194483528e-33,2.777013538437238e-30,ACL;ATME8;ATMES2;ME8;MES2,acetone-cyanohydrin lyase;ARABIDOPSIS METHYL ESTERASE 8;ARABIDOPSIS THALIANA METHYL ESTERASE 2;METHYL ESTERASE 8;METHYL ESTERASE 2
AT2G02710,-2.169281882534352,5.817189763640974,142.01138740885523,9.669219185800768e-33,3.1240875296276675e-30,PLP;PLPA;PLPB;PLPC,PAS/LOV PROTEIN;PAS/LOV PROTEIN A;PAS/LOV protein B;PAS/LOV PROTEIN C
AT4G02280,5.255725950525493,1.0159740391395726,141.43136994443194,1.2948432210945142e-32,4.143744944306463e-30,ATSUS3;SUS3,NA;sucrose synthase 3
AT2G27010,1.4996014027594073,4.425915100010354,140.40608241000405,2.169770463971068e-32,6.878172370788285e-30,CYP705A9,"cytochrome P450, family 705, subfamily A, polypeptide 9"
AT1G12940,10.81139472012666,5.952976224514511,138.96101432451223,4.4918137735404705e-32,1.410597443163616e-29,ATNRT2.5;NRT2.5,nitrate transporter2.5;nitrate transporter2.5
AT1G22500,-2.4521312604875445,7.24053902993919,138.84466367789364,4.7628436631336587e-32,1.4818617848946036e-29,AtATL15;ATL15,Arabidopsis thaliana Arabidopsis toxicos en levadura 15;Arabidopsis toxicos en levadura 15
AT2G36255,-8.23501198991027,8.309818715310607,138.7427455354152,5.01365914449816e-32,1.5455869226919923e-29,NA,NA
AT2G04190,-4.059165392950592,3.458565791086139,138.37932070823334,6.020507606368962e-32,1.8391008780837263e-29,NA,NA
AT1G47128,1.958225459576919,8.287799029915632,137.89833188126738,7.67050622075833e-32,2.3220211714407336e-29,RD21;RD21A,responsive to dehydration 21;responsive to dehydration 21A
AT1G11700,2.928248843876652,2.8305674077040717,137.59981112662777,8.914787083674485e-32,2.67459531772884e-29,NA,NA
AT5G14120,-3.7705396621798295,8.63014962676453,137.37535265239245,9.981620256505308e-32,2.968162866009658e-29,NA,NA
AT1G15460,2.5896182488322954,3.0294796345889816,136.52673081356085,1.5303949703868393e-31,4.5109062978016295e-29,ATBOR4;BOR4,ARABIDOPSIS THALIANA REQUIRES HIGH BORON 4;REQUIRES HIGH BORON 4
AT3G10020,-3.8429248285018165,6.181132197664455,135.16659913665282,3.0359571074127277e-31,8.870802671589781e-29,NA,NA
AT2G41220,2.137835150198377,8.285279909621497,134.4012493643745,4.463798795336613e-31,1.293039371731904e-28,GLU2,glutamate synthase 2
AT5G37980,3.68494865426682,1.2917101068854422,133.67205346014808,6.444835382152589e-31,1.8509346881289853e-28,NA,NA
AT2G24720,-2.2567431153027644,6.512225662263204,131.1362018363526,2.3118701840309694e-30,6.583344230831239e-28,ATGLR2.2;GLR2.2,glutamate receptor 2.2;glutamate receptor 2.2
AT5G40850,-2.7426064328622894,8.43546109231479,130.2828743364877,3.553512809114404e-30,1.003404516066069e-27,AtUPM1;UPM1,NA;urophorphyrin methylase 1
AT2G15890,-2.5867264485734567,6.922067830253948,129.99313245895777,4.11197850816737e-30,1.1514225152619997e-27,CBP1;MEE14,CCG-BINDING PROTEIN 1;maternal effect embryo arrest 14
AT1G77990,-2.9787326896022694,3.567204728903149,129.56436832344767,5.103434509787696e-30,1.417236416511456e-27,AST56;SULTR2;2,NA;SULPHATE TRANSPORTER 2;2
AT5G11930,4.704647301461631,1.559519771727388,129.43977399368984,5.434050504279978e-30,1.4966800413509494e-27,ROXY20,"NA"
AT2G29990,2.196792424238276,3.6570732326252378,128.72356315963262,7.795316269858272e-30,2.1295790024372166e-27,NDA2,alternative NAD(P)H dehydrogenase 2
AT4G35270,2.499859042629191,5.799468788812216,128.2434440169763,9.928635366831022e-30,2.690500045131097e-27,NLP2,NIN-like protein 2
AT5G45650,3.0552030200348974,1.8915633899479054,127.5807863288716,1.3864105677525497e-29,3.726893431809694e-27,NA,NA
AT5G28610,-2.990495760540992,3.6655311277628484,126.70353067308695,2.157054370579166e-29,5.752487377793741e-27,NA,NA
AT5G57887,-1.8230576246216053,6.1846861194090295,126.21602014208833,2.757700081695256e-29,7.296396704340471e-27,NA,NA
AT5G41800,1.4599128987247574,4.521523581108311,125.62751731196502,3.7096944162598405e-29,9.738527482434621e-27,NA,NA
AT1G02220,-2.588713095959309,5.554028057115773,125.46478476551127,4.0267272193039604e-29,1.0488844032794704e-26,ANAC003;NAC003,NAC domain containing protein 3;NAC domain containing protein 3
AT4G30110,-4.484141131121992,4.688841643488779,124.41116632245942,6.847713541441853e-29,1.7699759263040703e-26,ATHMA2;HMA2,ARABIDOPSIS HEAVY METAL ATPASE 2;heavy metal atpase 2
AT1G64190,-1.6405914021593937,8.420587047245156,123.86687833156776,9.00893697645102e-29,2.310826719715322e-26,PGD1,6-phosphogluconate dehydrogenase 1
AT5G39590,-1.714755145085037,7.414314878759211,123.8054211150327,9.292336003955491e-29,2.362431503666809e-26,OXR5,oxidation resistance 5
AT4G27970,-2.3471972239031977,4.0962844051652665,123.79299006530881,9.350734777325326e-29,2.362431503666809e-26,SLAH2,SLAC1 homologue 2
AT3G48340,2.783317216667696,7.519043658478337,123.52313089326117,1.0713007841422375e-28,2.686406637966229e-26,CEP2,cysteine endopeptidase 2
AT4G07820,-3.862823434766144,7.828841064061035,122.60975548874352,1.6975978532941626e-28,4.225383930843737e-26,NA,NA
AT5G01820,2.101393174476137,6.527877884740583,122.18902273171388,2.09860385378917e-28,5.185094609928211e-26,ATCIPK14;ATSR1;CIPK14;PKS24;SnRK3.15;SR1,NA;serine/threonine protein kinase 1;CBL-INTERACTING PROTEIN KINASE 14;SOS2-like protein kinase 24;SNF1-RELATED PROTEIN KINASE 3.15;serine/threonine protein kinase 1
AT2G21210,-8.0284918810856,3.261393581006833,121.61875135561849,2.7974551114944825e-28,6.861320193900555e-26,SAUR6,SMALL AUXIN UPREGULATED RNA 6
AT5G04120,7.196613163942578,5.534997091957559,121.45864735852466,3.032569713220668e-28,7.384087500263832e-26,NA,NA
AT2G44370,-1.8186805425354984,5.047703888885585,121.14339060699587,3.5548668747210277e-28,8.593570987365178e-26,NA,NA
AT1G28660,3.6096223291147846,2.0136401995792146,120.16375466122862,5.824834865261084e-28,1.3980435795893067e-25,NA,NA
AT3G16350,-2.5709980338490444,3.206890464706101,119.83733926228761,6.866651860623521e-28,1.6364059278061813e-25,NA,NA
AT1G11080,-3.5511676230288183,7.061618833932842,119.63407703809037,7.60756326469737e-28,1.8002066254955e-25,scpl31,serine carboxypeptidase-like 31
AT4G04955,1.2683579347994651,6.1831647703824,118.76762090226859,1.1774625920100437e-27,2.7667900710994046e-25,ALN;ATALN,allantoinase;allantoinase
AT5G23530,2.1565497567144063,5.219744007532505,118.1553689992039,1.6032455145884623e-27,3.7411288736945495e-25,AtCXE18;CXE18,carboxyesterase 18;carboxyesterase 18
AT3G04480,1.4859894915971046,5.538483181046944,117.10712975995762,2.7197298659643634e-27,6.302645721112727e-25,NA,NA
AT5G15830,-3.2181967774745677,6.1601341965572205,116.9265630362073,2.978961675067452e-27,6.85610069901483e-25,AtbZIP3;bZIP3,basic leucine-zipper 3;basic leucine-zipper 3
AT4G01430,-5.520741002453431,4.284634504440841,116.74920756889897,3.257627125558909e-27,7.44644807299527e-25,UMAMIT29,Usually multiple acids move in and out Transporters 29
AT3G22930,2.1904265926792026,4.700608049833191,116.18909002382618,4.3207231481512725e-27,9.80979319082291e-25,AtCML11;CML11,NA;calmodulin-like 11
AT4G14040,-2.4019796324893434,4.195959439422545,115.11690622218975,7.419214321599804e-27,1.6731573129825278e-24,EDA38;SBP2,EMBRYO SAC DEVELOPMENT ARREST 38;selenium-binding protein 2
AT5G24490,-2.4530469870684666,4.9033435252495075,115.038771653582,7.717374967134138e-27,1.728794890970942e-24,NA,NA
AT1G33817,-6.184753516720575,4.306975495744212,114.89232922438791,8.308854564358355e-27,1.8489677554408575e-24,NA,NA
AT3G63110,-4.142720997900024,5.205756351259786,113.76206796130529,1.469213934769432e-26,3.2479293839554245e-24,ATIPT3;IPT3,isopentenyltransferase 3;isopentenyltransferase 3
AT4G33960,-2.935339931180159,3.7728847751998744,113.6090785975489,1.587060741739075e-26,3.485517323131791e-24,NA,NA
AT5G59090,-2.4984355562592087,8.678482836247932,113.26605420471054,1.8868000754848678e-26,4.116899749119645e-24,ATSBT4.12;SBT4.12,subtilase 4.12;subtilase 4.12
AT5G49990,1.476245003211602,5.117242700744419,112.89086978908239,2.2798402053870135e-26,4.9423993923493175e-24,NA,NA
AT1G78090,-2.4846371404868446,6.351987455812004,112.29443167250177,3.0799950449421675e-26,6.634230352573507e-24,ATTPPB;TPPB,Arabidopsis thaliana trehalose-6-phosphate phosphatase B;trehalose-6-phosphate phosphatase B
AT1G24280,-2.4434625511014274,6.789560866011926,110.75358056816592,6.70023855860216e-26,1.434021758255731e-23,G6PD3,glucose-6-phosphate dehydrogenase 3
AT2G36120,-1.4422950187381756,9.379258138051567,110.72656812247646,6.792161374908509e-26,1.4444949779726312e-23,DOT1,DEFECTIVELY ORGANIZED TRIBUTARIES 1
AT4G01070,1.5361420151742189,7.016440114398639,110.60155259816604,7.234288671317799e-26,1.5288463392051615e-23,GT72B1;UGT72B1,NA;UDP-GLUCOSE-DEPENDENT GLUCOSYLTRANSFERASE 72 B1
AT3G13404,-8.631318149125471,0.8311221985033125,110.52527400908397,7.51807642701463e-26,1.57889002562841e-23,NA,NA
AT2G28270,-2.7408508595646843,4.413975526193933,110.23333939732005,8.71091720481555e-26,1.8180387572435534e-23,NA,NA
AT5G13110,-1.592673497577439,7.184114017400049,109.49687372101921,1.2630357121565827e-25,2.619785555548487e-23,G6PD2,glucose-6-phosphate dehydrogenase 2
AT1G19230,2.8946872310653795,4.884187994046914,109.31081787421442,1.3873306159555473e-25,2.859943764253883e-23,AtRbohE,"NA"
AT1G48260,2.6093240954429966,1.7695548366137102,109.16692329462464,1.4917886751222103e-25,3.05652945496686e-23,CIPK17;SnRK3.21,CBL-interacting protein kinase  17;SNF1-RELATED PROTEIN KINASE 3.21
AT3G47950,2.369979312546234,3.480145428232658,108.88710043546732,1.7179780174727865e-25,3.4986362026133683e-23,AHA4;HA4,H(+)-ATPase 4;H(+)-ATPase 4
AT4G39675,-8.46738232298825,7.892161782361041,108.26101528941575,2.3561360433612207e-25,4.7693303210255264e-23,NA,NA
