"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"11","BraA04g008780.3C",0.470759697038549,5.39849835484619,17.2034992030976,3.35817225531316e-05,0.0637688367839646,"AT4G13350","NIG","NSP (nuclear shuttle protein)-interacting GTPase",81.667
"12","BraA10g013250.3C",-0.583098712776099,4.8894080361909,17.1107934925094,3.52613417923755e-05,0.0637688367839646,"AT5G55280","ATFTSZ1-1","homolog of bacterial cytokinesis Z-ring protein FTSZ 1-1",89.37
"13","BraA03g060000.3C",1.12375022604918,2.69899648727551,16.9966623859128,3.74455845458098e-05,0.0637688367839646,"AT4G36400","D2HGDH","FAD-linked oxidases family protein",92.992
"14","BraA07g019890.3C",2.48543969775806,0.247064685320012,16.9154489021256,3.90822079510102e-05,0.0637688367839646,"AT5G39610","ANAC092","NAC domain containing protein  6",86.721
"15","BraA10g014240.3C",0.63042869185253,5.18072740828133,16.680008942929,4.42447989852449e-05,0.0637688367839646,"AT5G56350",NA,"Pyruvate kinase family protein",88.31
"16","BraA01g027130.3C",0.744356090196293,6.87476818762842,16.5702416180551,4.68809012405451e-05,0.0637688367839646,"AT5G02490","AtHsp70-2","Heat shock protein 70 (Hsp 70) family protein",83.932
"17","BraA10g013760.3C",0.500277707851489,4.95526101837747,16.3895744668839,5.15680907165156e-05,0.0637688367839646,"AT5G55860","TREPH1","Plant protein of unknown function (DUF827)",85.474
"18","BraA02g008570.3C",0.688483249539468,4.06175837756066,16.3040650275088,5.39480974048158e-05,0.0637688367839646,"AT5G19900",NA,"PRLI-interacting factor, putative",77.953
"19","BraA02g008910.3C",-0.532635532824893,4.851431675167,16.1849451343917,5.74488746915349e-05,0.0637688367839646,"AT5G20500",NA,"Glutaredoxin family protein",86.275
"20","BraA03g000810.3C",0.567972192665268,4.18592971928263,16.0691017275374,6.1072427310796e-05,0.0637688367839646,"AT5G03330",NA,"Cysteine proteinases superfamily protein",86.519
"21","BraA07g022170.3C",0.587388695738672,4.02005625943597,16.0627497944215,6.12776341634197e-05,0.0637688367839646,"AT3G55880","SUE4","Alpha/beta hydrolase related protein",82.447
"22","BraA02g009750.3C",-0.643942313502174,4.02737270734567,15.9227833135365,6.59796915187621e-05,0.0637688367839646,"AT5G22390",NA,"Protein of unknown function (DUF3049)",83.474
"23","BraA07g042690.3C",-1.18548299030659,0.830818230348599,15.8820983005028,6.74133641830068e-05,0.0637688367839646,"AT1G80850",NA,"DNA glycosylase superfamily protein",84.11
"24","BraA08g008110.3C",0.436612220898484,5.35968608644621,15.6041354600421,7.80836278275603e-05,0.0637688367839646,"AT1G34300",NA,"lectin protein kinase family protein",83.413
"25","BraA05g038540.3C",0.62516012227411,3.18181352053617,15.5613257021767,7.98717350667888e-05,0.0637688367839646,"AT3G07090",NA,"PPPDE putative thiol peptidase family protein",80.387
"26","BraA01g023360.3C",-0.658325908890372,4.9131288739139,15.3334818717092,9.01052930198541e-05,0.0637688367839646,"AT3G49910",NA,"Translation protein SH3-like family protein",89.796
"27","BraA06g011680.3C",0.702400652937445,2.64779571414182,15.0317011440343,0.000105720304003709,0.0637688367839646,"AT1G15670","KFB01","Galactose oxidase/kelch repeat superfamily protein",83.889
"28","BraA04g013300.3C",0.634311918865438,4.15627148560264,14.9689831516006,0.000109292942927721,0.0637688367839646,"AT5G40690",NA,NA,81.287
"29","BraA04g011230.3C",2.2515820041943,-0.0452377342490228,14.8502314587306,0.000116393785674515,0.0637688367839646,"AT5G38710","PDH2","Methylenetetrahydrofolate reductase family protein",88.679
"30","BraA03g040930.3C",0.785100351362784,3.98661387987767,14.8236798331208,0.000118043954819395,0.0637688367839646,"AT3G24090","GFAT",NA,87.932
"31","BraA02g000350.3C",-0.912497764340042,1.70458789208669,14.8159360378531,0.000118529648605995,0.0637688367839646,"AT5G01090",NA,"Concanavalin A-like lectin family protein",79.735
"32","BraA06g018110.3C",-0.539395456072963,5.29049408882387,14.7804786704053,0.000120779369468952,0.0637688367839646,"AT3G48930","EMB1080",NA,89.916
"33","BraA10g006280.3C",0.487356933495635,5.09132531855135,14.7368209510687,0.000123608530187745,0.0637688367839646,"AT1G07630","PLL5","pol-like 5",82.115
"34","BraA09g033740.3C",0.507979496174082,5.18019664563386,14.7321972901958,0.000123912038305593,0.0637688367839646,"AT1G31280","AGO2","Argonaute family protein",81.123
"35","BraA03g012430.3C",-1.03944301053612,1.58788864131462,14.7118676970283,0.000125255447387413,0.0637688367839646,"AT5G57450","ATXRCC3","homolog of X-ray repair cross complementing 3 (XRCC3)",82.96
"36","BraA08g008070.3C",0.472248674972855,5.17545247036577,14.6965213507076,0.000126279259809586,0.0637688367839646,"AT1G34370","AtSTOP1","C2H2 and C2HC zinc fingers superfamily protein",82.775
"37","BraA05g003010.3C",-1.54290239530814,0.930855301938557,14.6859834278617,0.00012698715885345,0.0637688367839646,"AT2G42570","TBL39","TRICHOME BIREFRINGENCE-LIKE 39",89.412
"38","BraA03g046150.3C",0.916694752607385,3.98416960318216,14.6729665982367,0.000127867099558655,0.0637688367839646,"AT4G15280","UGT71B5",NA,78.462
"39","BraA06g004580.3C",2.18062514907083,0.121397376282633,14.6593068779006,0.000128797101492633,0.0637688367839646,"AT5G02500","AT-HSC70-1","heat shock cognate protein 70-1",82.102
"40","BraA02g015350.3C",-0.631165545054536,4.36211997878943,14.6452017554966,0.000129764575126016,0.0637688367839646,"AT5G52420","PRCE3",NA,79.217
"41","BraA03g056150.3C",-0.495070489101693,4.94257662739414,14.6371867167189,0.000130317584947367,0.0637688367839646,"AT4G30720","PDE327",NA,88.8
"42","BraA03g035360.3C",1.30002219949094,2.72152962521366,14.6036110097665,0.000132660099056999,0.0637688367839646,"AT3G12580","ATHSP70",NA,83.869
"43","BraA01g006600.3C",-1.3704398897918,0.650541666693687,14.5743615546874,0.000134735307011241,0.0637688367839646,"AT4G31290","AtGGCT2;2",NA,93.851
"44","BraA08g017810.3C",0.365866666737404,6.5822869499559,14.5245855651767,0.000138342265926785,0.0637688367839646,"AT4G30960","ATCIPK6",NA,83.97
"45","BraA01g025320.3C",0.446872062274191,4.79758028748721,14.5008880620014,0.000140093483736336,0.0637688367839646,"AT3G46510","ATPUB13",NA,87.28
"46","BraA01g009270.3C",0.540936718525851,2.92146958490686,14.4849663274668,0.000141282600651395,0.0637688367839646,"AT4G17670",NA,NA,87.342
"47","BraA06g038550.3C",0.582283201058466,4.5543031416026,14.4404529354806,0.000144661293873334,0.0637688367839646,"AT3G26000","RIFP1",NA,81.477
"48","BraA07g039660.3C",0.419191112643191,9.85723109185183,14.4134696819479,0.00014674888720384,0.0637688367839646,"AT1G76180","ERD14","Dehydrin family protein",79.027
"49","BraA02g038570.3C",0.589462087441483,6.90154640533599,14.3352193807036,0.000152975971713663,0.0637688367839646,"AT3G29075",NA,"glycine-rich protein",71.109
"50","BraA01g037820.3C",0.96974584104512,1.96717937539505,14.301454718149,0.000155744473173817,0.0637688367839646,"AT3G13730","CYP90D1",NA,89.054
"51","BraA06g024130.3C",-0.662676947985233,3.88247347022346,14.2766290638791,0.000157812167856629,0.0637688367839646,"AT3G47650","BDS2",NA,81.49
"52","BraA07g023630.3C",-0.417178970176199,5.41615272856723,14.2563825587969,0.000159518922490453,0.0637688367839646,"AT3G58830","PGPP1",NA,83.992
"53","BraA03g004500.3C",0.367279184995688,5.11807285421519,14.2450941800752,0.000160478577426017,0.0637688367839646,"AT5G10960",NA,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",80.526
"54","BraA09g019400.3C",-0.567033897711645,5.15757768027856,14.2298823225387,0.000161780980892471,0.0637688367839646,"AT5G42765",NA,NA,80.435
"55","BraA01g001000.3C",0.63881033883948,4.03816590247808,14.1832722843387,0.000165838280586811,0.0637688367839646,"AT4G40080","PICALM10a","ENTH/ANTH/VHS superfamily protein",84.557
"56","BraA03g030970.3C",1.56369784995153,0.340381423977939,14.1754352300948,0.000166530474018673,0.0637688367839646,"AT3G02500",NA,NA,75.225
"57","BraA04g002530.3C",0.522647034976445,7.21264849852177,14.1659534817849,0.000167371823074511,0.0637688367839646,"AT3G59010","PME35",NA,86.444
"58","BraA02g009030.3C",1.9577893638449,0.40442795314916,14.1298508891077,0.000170614706421935,0.0637688367839646,"AT5G20640",NA,"Protein of unknown function (DUF567)",84.686
"59","BraA10g004680.3C",0.538602090904839,4.7068282302755,14.126063195891,0.000170958579647308,0.0637688367839646,"AT1G05890","ARI5","RING/U-box superfamily protein",88.149
"60","BraA09g044390.3C",-0.454182237012773,6.30128269806304,14.1183394691326,0.000171661958042493,0.0637688367839646,"AT3G53430",NA,NA,85.828
"61","BraA08g015490.3C",-0.451010348234234,4.76006536848825,14.0944867258499,0.000173852615098712,0.0637688367839646,"AT4G35100","PIP2;7","plasma membrane intrinsic protein 3",91.805
"62","BraA09g012240.3C",0.61997339984425,4.86732294708125,14.0276514674562,0.000180141991048995,0.0637688367839646,"AT2G20320",NA,"DENN (AEX-3) domain-containing protein",87.416
"63","BraA08g027370.3C",-1.31932373568702,1.22028049009056,14.0180687043663,0.000181062350804235,0.0637688367839646,"AT1G21400",NA,"Thiamin diphosphate-binding fold (THDP-binding) superfamily protein",86.855
"64","BraA01g027800.3C",0.506197988902786,5.63792148312606,13.9939557096232,0.000183399250681298,0.0637688367839646,"AT1G59820","ALA3","aminophospholipid ATPase 3",93.108
"65","BraA10g023710.3C",0.499713544232601,6.1303242493873,13.9745442433601,0.000185302560523425,0.0637688367839646,"AT5G15870",NA,"glycosyl hydrolase family 81 protein",82.871
"66","BraA04g028970.3C",0.458302538240804,5.32339107326614,13.9680641018144,0.00018594236334446,0.0637688367839646,"AT5G42440",NA,"Protein kinase superfamily protein",76.126
"67","BraA05g014020.3C",0.618416811163521,4.2164937564578,13.9660683987467,0.000186139852619044,0.0637688367839646,"AT2G30250","ATWRKY25","WRKY DNA-binding protein 25",82.58
"68","BraA03g059010.3C",-0.577247916323875,4.44109832763873,13.9524088966336,0.00018749724338154,0.0637688367839646,"AT4G34730","RBF1","ribosome-binding factor A family protein",85.648
"69","BraA06g027620.3C",-0.614894497103291,4.65964809960397,13.9333023957982,0.000189412666113471,0.0637688367839646,"AT5G64150",NA,"RNA methyltransferase family protein",84.124
"70","BraA01g025700.3C",-0.631728827115768,3.40403341130746,13.9051214877678,0.000192273834512836,0.0637688367839646,"AT3G45050",NA,NA,75.615
"71","BraA05g007980.3C",0.406883844206233,4.93395497240753,13.8826809396045,0.000194583301458237,0.0637688367839646,"AT2G37570","SLT1","HSP20-like chaperones superfamily protein",82.088
"72","BraA09g048280.3C",0.720030082343227,6.25693121445996,13.8688203901585,0.000196023698774537,0.0637688367839646,"AT3G57680",NA,NA,83.857
"73","BraA01g043910.3C",-0.620985606684971,3.01698041798295,13.8449658892101,0.000198527871838513,0.0637688367839646,"AT3G03010",NA,"Peptidyl-tRNA hydrolase II (PTH2) family protein",85.635
"74","BraA01g015520.3C",-0.515763132637499,8.32548341190082,13.8405636980005,0.000198993510967132,0.0637688367839646,"AT4G24770","ATRBP31","31-kDa RNA binding protein",86.13
"75","BraA05g013650.3C",0.486142404132568,5.11793125579875,13.8290935167284,0.000200211937324068,0.0637688367839646,"AT2G30960",NA,NA,73.163
"76","BraA08g021820.3C",-0.513087587895917,4.76755100603749,13.7853775481211,0.000204925005667202,0.0644111649391857,"AT4G37980","ATCAD7","elicitor-activated gene 3-1",86.406
"77","BraA08g034340.3C",-1.5437622555519,0.938070866739452,13.7558868054806,0.000208167420822598,0.0645805629689638,"AT1G05470","CVP2","DNAse I-like superfamily protein",87.611
"78","BraA06g007290.3C",-0.866831647288661,3.13115132308148,13.6462297128201,0.000220684008454883,0.0675858922303876,"AT1G10470","ARR4","response regulator 4",83.165
"79","BraA06g005130.3C",0.493177720347354,3.65736752681672,13.5941945711474,0.000226886092243968,0.0684125697071342,"AT1G07870",NA,"Protein kinase superfamily protein",84.579
"80","BraA01g043580.3C",-0.634173364248081,4.93546967034412,13.5382816420227,0.000233746309599703,0.0684125697071342,"AT3G03630","CS26",NA,83.631
"81","BraA01g036900.3C",0.488228074438701,3.67533141686976,13.5194310007304,0.000236105992802345,0.0684125697071342,"AT3G15115",NA,NA,84.113
"82","BraA05g005460.3C",-0.531079914753595,5.35857158723282,13.4822676317438,0.000240828576842017,0.0684125697071342,"AT2G45770","CPFTSY","signal recognition particle receptor protein, chloroplast (FTSY)",85.919
"83","BraA03g043770.3C",0.441907332561205,5.94863040120354,13.4753990160138,0.000241711782648412,0.0684125697071342,"AT5G60820",NA,"RING/U-box superfamily protein",76.417
"84","BraA09g008690.3C",0.497084811895804,5.26611297014239,13.4747590181676,0.0002417942432863,0.0684125697071342,"AT5G65500",NA,"U-box domain-containing protein kinase family protein",84.341
"85","BraA03g037530.3C",0.610609506546235,5.07575083155941,13.4524597141965,0.00024468517355301,0.0684125697071342,NA,NA,NA,NA
"86","BraA01g010700.3C",1.32645497960659,2.69046805783863,13.4401615220871,0.000246294415389046,0.0684125697071342,"AT4G19370","MWL-2","Protein of unknown function (DUF1218)",84.844
"87","BraA05g022880.3C",1.80232701380528,1.18838209688691,13.410203761338,0.000250259228082075,0.0687148556370644,"AT5G49690",NA,"UDP-Glycosyltransferase superfamily protein",78.725
"88","BraA06g019590.3C",-0.613573621138613,5.32936761151331,13.3833292725251,0.000253870691388693,0.0689143531351488,"AT3G47430","PEX11B",NA,88.158
"89","BraA10g017690.3C",-0.508035567624904,5.10580335708631,13.2963924346553,0.000265917282520208,0.0702138449371423,"AT5G59850",NA,"Ribosomal protein S8 family protein",91.603
"90","BraA06g003880.3C",-0.720952534644244,4.45417184383334,13.2655885437621,0.000270322577352576,0.0702138449371423,"AT1G49560","HHO6","Homeodomain-like superfamily protein",78.669
"91","BraA04g007380.3C",-0.922761262664984,4.80472039927274,13.2645127219381,0.000270477754162673,0.0702138449371423,"AT3G51870",NA,NA,88.07
"92","BraA02g013110.3C",0.488027283261418,8.20250407077765,13.2516142651401,0.000272345237532127,0.0702138449371423,"AT5G56030","AtHsp90.2","heat shock protein 81-2",89.407
"93","BraA10g020490.3C",0.355021714607814,5.95098774762685,13.2446818396345,0.000273354302543295,0.0702138449371423,"AT5G19900",NA,"PRLI-interacting factor, putative",74.173
"94","BraA07g025030.3C",0.658466688700063,6.2730887443679,13.1703382763447,0.000284415389694733,0.0720854581028595,"AT3G62150","ABCB21",NA,89.53
"95","BraA08g013150.3C",0.384917344993195,4.89705796314712,13.1555028362941,0.000286676093426476,0.0720854581028595,"AT4G18880","AT-HSFA4A",NA,79.351
"96","BraA03g001240.3C",0.565801441092121,7.10199151773666,13.1247633076794,0.000291418171990015,0.0725145551301821,"AT5G03630","MDAR2","Pyridine nucleotide-disulphide oxidoreductase family protein",85.062
"97","BraA02g013770.3C",-0.473106846013306,6.7669078444811,13.035337781625,0.000305668088296123,0.0740922325098761,"AT5G54600","RPL24","Translation protein SH3-like family protein",87.129
"98","BraA03g019440.3C",0.697659273514536,7.50795714746291,13.027101417996,0.000307015374998302,0.0740922325098761,"AT5G42020","BIP","Heat shock protein 70 (Hsp 70) family protein",91.737
"99","BraA01g041780.3C",-1.47315310440526,1.49975739515187,13.0268083673894,0.000307063421738016,0.0740922325098761,"AT3G06840",NA,NA,83.684
"100","BraA06g005760.3C",-0.526734060867518,4.04403928571566,12.9970319431549,0.000311985109428942,0.0745270029403856,"AT1G08640","CJD1","Chloroplast J-like domain 1",87.456
"101","BraA10g028860.3C",-1.25359429929139,1.92501620086299,12.9548409319965,0.000319095300741314,0.0754707776644407,"AT3G11510",NA,NA,83.223
"102","BraA01g017820.3C",0.667555545152692,2.7152317182916,12.9327084235107,0.000322890266593988,0.0755873401089777,"AT4G27120",NA,NA,92.769
"103","BraA03g019420.3C",-0.592810243859385,7.51429428998778,12.8781988922299,0.000332432015582254,0.0755873401089777,"AT2G37220",NA,"RNA-binding (RRM/RBD/RNP motifs) family protein",83.671
"104","BraA01g002060.3C",1.29988860030978,2.41933694564235,12.851687723201,0.000337175001043275,0.0755873401089777,"AT4G36760","APP1",NA,86.081
"105","BraA03g054380.3C",0.356979141375633,5.53044769963415,12.8351250883041,0.000340172717644839,0.0755873401089777,"AT4G28400",NA,NA,86.236
"106","BraA01g029020.3C",0.51814654395978,4.32888220718697,12.7895385034412,0.000348563096600594,0.0755873401089777,"AT1G61260",NA,"Protein of unknown function (DUF761)",76.85
"107","BraA02g017690.3C",-0.352134036113456,4.75708390725626,12.7883341409463,0.000348787571531541,0.0755873401089777,"AT1G65030",NA,"Transducin/WD40 repeat-like superfamily protein",85.265
"108","BraA09g006830.3C",-0.454688899530529,4.13829216421122,12.7848610269554,0.000349435724153513,0.0755873401089777,"AT5G61060","ATHDA5","histone deacetylase 5",84.054
"109","BraA07g027130.3C",0.394200278257983,3.72288011844484,12.7699503294129,0.000352232189725248,0.0755873401089777,"AT1G76970",NA,"Target of Myb protein 1",79.781
"110","BraA08g018020.3C",0.769699194288546,2.00443940728526,12.7538694490304,0.000355273424189478,0.0755873401089777,"AT4G30550","GGP3",NA,83.128
"111","BraA04g002400.3C",0.488186780263972,5.07618150353839,12.738766935729,0.000358153741270259,0.0755873401089777,"AT3G59350",NA,"Protein kinase superfamily protein",85.927
"112","BraA01g043230.3C",1.15180969610271,1.90124484321126,12.7181330516033,0.000362127099843747,0.0755873401089777,"AT3G04070","ANAC047","NAC domain containing protein 47",86.226
"113","BraA03g009460.3C",-0.501878527916482,7.04261586304664,12.7024232571668,0.000365182038687864,0.0755873401089777,"AT5G20130",NA,NA,84.228
"114","BraA06g031150.3C",0.560554057329775,6.49412093893918,12.6559139871568,0.000374379526649282,0.0755873401089777,"AT5G23750",NA,"Remorin family protein",88.835
"115","BraA09g035940.3C",-0.559162488644712,6.05267327546796,12.6514931355592,0.000375265846471237,0.0755873401089777,"AT1G29070","PRPL34","Ribosomal protein L34",83.16
"116","BraA09g033660.3C",1.06320885502858,2.09823125504901,12.6441695429104,0.000376738785667593,0.0755873401089777,"AT2G24280",NA,"alpha/beta-Hydrolases superfamily protein",88.424
"117","BraA03g012820.3C",-0.47765099395539,2.63867552225588,12.6304722778852,0.000379509284988286,0.0755873401089777,"AT5G56740","HAC07","histone acetyltransferase of the GNAT family 2",88.397
"118","BraA05g032460.3C",1.30245464856573,5.46692900456781,12.6197953900077,0.000381683108996957,0.0755873401089777,"AT3G14620","CYP72A8",NA,87.958
"119","BraA07g040880.3C",0.539118240337318,5.07689868475257,12.6074312847646,0.000384216151526692,0.0755873401089777,"AT1G77510","ATPDI6","PDI-like 1-2",85.705
"120","BraA08g031140.3C",2.06666820074543,-0.024469956484365,12.5834763594691,0.000389172170814809,0.0755873401089777,NA,NA,NA,NA
"121","BraA07g008590.3C",0.751594852073535,7.38664769958971,12.5813160953318,0.000389622264212753,0.0755873401089777,"AT5G42020","BIP","Heat shock protein 70 (Hsp 70) family protein",90.991
"122","BraA03g016110.3C",0.405701618082777,6.21300968116073,12.5702774249075,0.000391930393639802,0.0755873401089777,"AT2G30250","ATWRKY25","WRKY DNA-binding protein 25",84.596
"123","BraA04g024010.3C",-0.4382029178354,7.54845274097649,12.5290178162333,0.000400680374926788,0.0755873401089777,"AT2G33430","DAL","differentiation and greening-like 1",86.727
"124","BraA08g029020.3C",-0.444811924012309,4.51740338565269,12.5066831641483,0.00040549885803996,0.0755873401089777,"AT1G17880","ATBTF3","basic transcription factor 3",87.879
"125","BraA02g009250.3C",1.57114726413264,0.480776212828835,12.4964840323295,0.000407718622659797,0.0755873401089777,"AT5G20960","AAO1","aldehyde oxidase 1",83.025
"126","BraA06g018040.3C",-0.429036132298321,6.67730037965709,12.495985492129,0.000407827439913846,0.0755873401089777,"AT3G49010","ATBBC1","breast basic conserved 1",88.084
"127","BraA03g015680.3C",0.70900814993082,9.07058680883465,12.4845895877131,0.000410322849622398,0.0755873401089777,"AT5G51070","CLPD","Clp ATPase",87.298
"128","BraA10g012110.3C",-0.487405805526967,6.64714405000055,12.4782831921049,0.000411710403099555,0.0755873401089777,"AT5G53860","ANU7","embryo defective 2737",91.462
"129","BraA01g007230.3C",0.389964890913728,7.80183783382057,12.4641104702224,0.000414846029790236,0.0755873401089777,"AT4G30600",NA,NA,85.043
"130","BraA06g013900.3C",0.434608659242033,4.94913440355624,12.4456439707542,0.000418967807001905,0.0755873401089777,"AT1G18260","EBS5","HCP-like superfamily protein",88.371
"131","BraA03g009120.3C",-0.405895686539382,6.07023115178109,12.4365678385652,0.000421008745900467,0.0755873401089777,"AT5G19510",NA,"Translation elongation  factor EF1B/ribosomal protein S6 family protein",86.765
"132","BraA02g005710.3C",-0.487071646982598,4.94709348564918,12.4353390501966,0.000421285831938512,0.0755873401089777,"AT5G14910",NA,"Heavy metal transport/detoxification superfamily protein",83.577
"133","BraA03g043390.3C",1.55821274357736,0.646971922331688,12.4306232596952,0.000422350929758117,0.0755873401089777,"AT2G16900",NA,"Arabidopsis phospholipase-like protein (PEARLI 4) family",81.858
"134","BraA01g023840.3C",0.522258132350498,5.8569553911212,12.4168555034738,0.000425476054450573,0.0755873401089777,"AT3G49210",NA,NA,84.922
"135","BraA09g059600.3C",0.59580230173728,4.68417008663977,12.4043274391595,0.000428340053977066,0.0755873401089777,"AT1G14200",NA,"RING/U-box superfamily protein",76.458
"136","BraA10g020280.3C",-0.4584700058504,7.50610009778306,12.3734884283889,0.000435473212843575,0.0755873401089777,"AT5G20290",NA,"Ribosomal protein S8e family protein",86.384
"137","BraA05g008390.3C",0.376972013770985,5.7323917441568,12.3670490976313,0.000436977711212558,0.0755873401089777,"AT2G36970",NA,NA,87.422
"138","BraA03g040790.3C",-0.923141473900037,4.21002824802004,12.3513832567534,0.000440659848109934,0.0755873401089777,"AT3G23390","RPL36aA",NA,92.138
"139","BraA03g024820.3C",-0.609884528317284,5.1596478079179,12.3342618302336,0.000444719927033581,0.0755873401089777,"AT2G28605",NA,"Photosystem II reaction center PsbP family protein",81.044
"140","BraA07g023980.3C",0.500274141431549,4.59936123715949,12.3025389177666,0.000452342554379351,0.0755873401089777,"AT3G59660","BAGP1",NA,89.82
"141","BraA01g006670.3C",0.327079392212046,4.77046525073962,12.2814025747775,0.000457494413887207,0.0755873401089777,"AT4G31170","RAF28","Protein kinase superfamily protein",86.613
"142","BraA03g047130.3C",0.768729845121039,1.63778839293754,12.2795732617896,0.000457943072719276,0.0755873401089777,"AT4G16640","AT1-MMP",NA,80.965
"143","BraA03g052050.3C",-0.661144229880769,7.45003127679519,12.2768157457324,0.000458620222655222,0.0755873401089777,"AT4G24770","ATRBP31","31-kDa RNA binding protein",78.348
"144","BraA06g008710.3C",0.384126536675046,6.48349325340746,12.2437414329029,0.000466821300081196,0.0755873401089777,"AT1G13000",NA,"Protein of unknown function (DUF707)",89.757
"145","BraA02g019630.3C",0.352521434814395,5.43091668811073,12.2298672136999,0.000470305454089298,0.0755873401089777,"AT1G70160",NA,NA,87.637
"146","BraA09g045600.3C",-0.518400452029966,4.25209159770845,12.219218426524,0.00047299741507936,0.0755873401089777,"AT3G54790",NA,"ARM repeat superfamily protein",80.734
"147","BraA01g008630.3C",0.877471173656722,2.4360400226843,12.2055028269813,0.00047648757754754,0.0755873401089777,"AT4G28880","ckl3","casein kinase I-like 3",77.273
"148","BraA04g029000.3C",0.47283037068527,5.66751677711769,12.2028145347597,0.000477174698626024,0.0755873401089777,"AT2G40950","BZIP17",NA,85.309
"149","BraA06g018010.3C",0.443666226692436,6.06425044946253,12.1966852082767,0.000478745081440401,0.0755873401089777,"AT3G49060",NA,"U-box domain-containing protein kinase family protein",87.438
"150","BraA09g048140.3C",-0.423083980251891,5.13531908866313,12.193552765654,0.000479549651340328,0.0755873401089777,"AT3G57560","NAGK",NA,85.067
"151","BraA09g011970.3C",-0.451134380260528,5.4352774600508,12.1766783953587,0.000483907379260703,0.0755873401089777,"AT2G19730",NA,"Ribosomal L28e protein family",90.046
"152","BraA10g002290.3C",0.454889712251725,6.4117618738071,12.161908826004,0.000487754340855867,0.0755873401089777,"AT1G03740",NA,"Protein kinase superfamily protein",79.522
"153","BraA02g012390.3C",-0.523881540395119,6.02504163392739,12.1595083397934,0.000488382494024485,0.0755873401089777,"AT5G57290","AtP3B","60S acidic ribosomal protein family",91.185
"154","BraA08g014770.3C",0.9587642338144,1.83763650742056,12.1459156035464,0.00049195483963838,0.0755873401089777,"AT4G21870",NA,"HSP20-like chaperones superfamily protein",80.476
"155","BraA09g065740.3C",1.72385923165696,1.9479281914383,12.1417209642196,0.000493062560970951,0.0755873401089777,"AT1G02470",NA,"Polyketide cyclase/dehydrase and lipid transport superfamily protein",76.406
"156","BraA04g026410.3C",-1.02602204062652,1.36565295490435,12.1396088669853,0.000493621276666131,0.0755873401089777,"AT2G37320",NA,"Tetratricopeptide repeat (TPR)-like superfamily protein",85.141
"157","BraA01g002470.3C",0.454093151829756,3.72142396430517,12.1237911010898,0.000497825933347724,0.0757456426484741,"AT4G36150",NA,NA,82.688
"158","BraA09g006350.3C",0.462466440623294,4.80028236713883,12.1099425508792,0.00050153680588066,0.0758272861954254,"AT5G23950",NA,"Calcium-dependent lipid-binding (CaLB domain) family protein",85.646
"159","BraA06g002990.3C",-0.515483720889236,5.29179085155802,12.041983576285,0.000520155907286023,0.0771134617655741,"AT1G50900","GDC1","Ankyrin repeat family protein",85.393
"160","BraA05g007480.3C",-0.510690985730113,8.80319632482492,12.0146250267798,0.000527847067489981,0.0771134617655741,"AT2G38140","PSRP4","plastid-specific ribosomal protein 4",85.556
"161","BraA02g016780.3C",0.682765972705363,5.58859311295396,11.9958176679607,0.0005332007670755,0.0771134617655741,"AT5G49630","AAP6","amino acid permease 6",87.456
"162","BraA10g017710.3C",-1.35558277676528,1.2257371160697,11.9957772317297,0.000533212336502582,0.0771134617655741,"AT5G59870","h2a.w.6","histone H2A 6",85.651
