name,AGI,At_symbol,At_full_name,At_short_description,leaf_tissue.root.yellowgreen.Dead,root_tissue.leaf.lightsteelblue1.Live,root_tissue.leaf.midnightblue.Live,root_tissue.leaf.thistle2.Dead,root_tissue.leaf.red.Dead,root_tissue.root.plum1.Dead,root_tissue.root.yellowgreen.Dead
BraA01g000370.3C,AT4G39320,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000380.3C,AT4G39340,EC1.4,EGG CELL 1.4,NA,0,0,0,0,0,0,0
BraA01g000390.3C,AT4G39350,ATCESA2,NA,NA,0,0,1,0,0,0,0
BraA01g000400.3C,AT4G39360,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000410.3C,AT2G21790,ATRNR1,RIBONUCLEOTIDE REDUCTASE LARGE SUBUNIT 1,ribonucleotide reductase 1,0,0,0,0,0,0,0
BraA01g000420.3C,AT4G39390,ATNST-KT1,A. THALIANA NUCLEOTIDE SUGAR TRANSPORTER-KT 1,nucleotide sugar transporter-KT 1,0,0,0,0,0,0,0
BraA01g000430.3C,AT4G39400,ATBRI1,NA,NA,0,0,0,0,0,0,0
BraA01g000440.3C,AT4G39410,ATWRKY13,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 13,NA,0,0,0,0,0,0,0
BraA01g000450.3C,AT4G39420,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000460.3C,AT4G32170,CYP96A2,"cytochrome P450, family 96, subfamily A, polypeptide 2","cytochrome P450, family 96, subfamily A, polypeptide 2",0,0,0,0,0,0,0
BraA01g000470.3C,AT4G39520,Drg1-1,NA,NA,0,0,0,0,0,0,0
BraA01g000480.3C,AT4G39540,ATSK2,NA,shikimate kinase 2,0,0,0,0,0,0,0
BraA01g000490.3C,AT4G39590,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000500.3C,AT1G61540,NA,NA,Galactose oxidase/kelch repeat superfamily protein,0,0,0,0,0,0,0
BraA01g000510.3C,AT4G39590,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000530.3C,AT1G62020,NA,NA,"Coatomer, alpha subunit",0,0,0,0,0,0,0
BraA01g000540.3C,AT4G39620,ATPPR5,A. THALIANA PENTATRICOPEPTIDE REPEAT 5,Tetratricopeptide repeat (TPR)-like superfamily protein,0,0,0,0,0,0,0
BraA01g000550.3C,AT4G39640,GGT1,gamma-glutamyl transpeptidase 1,gamma-glutamyl transpeptidase 1,0,0,0,0,0,0,0
BraA01g000560.3C,AT4G39630,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000570.3C,AT4G39640,GGT1,gamma-glutamyl transpeptidase 1,gamma-glutamyl transpeptidase 1,0,0,0,0,0,0,0
BraA01g000580.3C,AT4G39660,AGT2,alanine:glyoxylate aminotransferase 2,alanine:glyoxylate aminotransferase 2,0,0,0,0,0,0,0
BraA01g000590.3C,AT4G39680,NA,NA,SAP domain-containing protein,0,0,0,0,0,0,0
BraA01g000610.3C,AT4G39690,MIC60,NA,NA,0,0,0,0,0,0,0
BraA01g000620.3C,AT4G39700,NA,NA,Heavy metal transport/detoxification superfamily protein,0,0,0,0,0,0,0
BraA01g000630.3C,AT4G39710,FKBP16-2,FK506-binding protein 16-2,FK506-binding protein 16-2,0,0,0,0,0,0,0
BraA01g000640.3C,AT4G39720,NA,NA,VQ motif-containing protein,0,0,0,0,0,0,0
BraA01g000650.3C,AT4G39740,HCC2,homologue of copper chaperone SCO1 2,NA,0,0,0,0,0,0,0
BraA01g000660.3C,AT4G39770,TPPH,trehalose-6-phosphate phosphatase H,NA,0,0,0,0,0,0,0
BraA01g000670.3C,AT4G39780,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000680.3C,AT4G39790,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000690.3C,AT4G39795,NA,NA,Protein of unknown function (DUF581),0,0,0,0,0,0,0
BraA01g000700.3C,AT4G39800,ATIPS1,INOSITOL 3-PHOSPHATE SYNTHASE 1,myo-inositol-1-phosphate synthase 1,0,0,0,0,0,0,0
BraA01g000710.3C,AT2G04700,FTRB,ferredoxin/thioredoxin reductase catayltic subunit,ferredoxin thioredoxin reductase catalytic beta chain family protein,0,0,0,0,0,0,0
BraA01g000720.3C,AT4G39840,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000730.3C,AT4G39860,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000740.3C,AT4G39870,NA,NA,TLD-domain containing nucleolar protein,0,0,0,0,0,0,0
BraA01g000750.3C,AT4G39880,NA,NA,Ribosomal protein L23/L15e family protein,0,0,0,0,0,0,0
BraA01g000760.3C,AT4G39900,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000780.3C,AT4G39910,ATUBP3,ubiquitin-specific protease 3,ubiquitin-specific protease 3,0,0,0,0,0,0,0
BraA01g000790.3C,AT4G39940,AKN2,APS-kinase 2,APS-kinase 2,0,0,0,0,0,0,0
BraA01g000830.3C,AT4G39950,CYP79B2,"cytochrome P450, family 79, subfamily B, polypeptide 2","cytochrome P450, family 79, subfamily B, polypeptide 2",0,0,0,0,0,0,0
BraA01g000840.3C,AT4G39960,DJA5,DNA J protein A5,Molecular chaperone Hsp40/DnaJ family protein,0,0,0,0,0,0,0
BraA01g000850.3C,AT4G39980,AtDAHP1,NA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1,0,0,0,0,1,0,0
BraA01g000860.3C,AT4G39990,ATGB3,GTP-BINDING PROTEIN 3,RAB GTPase homolog A4B,0,0,0,0,0,0,0
BraA01g000870.3C,AT4G40000,AtTRM4a,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0,0,0,0,0,0,0
BraA01g000880.3C,AT4G40010,SNRK2-7,SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-7,SNF1-related protein kinase 2.7,0,0,0,0,0,0,0
BraA01g000890.3C,AT4G40020,NA,NA,Myosin heavy chain-related protein,0,0,0,0,0,0,0
BraA01g000900.3C,AT4G40040,H3.3,histone 3.3,Histone superfamily protein,0,0,0,0,0,0,0
BraA01g000910.3C,AT4G40042,NA,NA,Microsomal signal peptidase 12 kDa subunit (SPC12),0,0,0,0,0,0,0
BraA01g000920.3C,AT4G40042,NA,NA,Microsomal signal peptidase 12 kDa subunit (SPC12),0,0,0,0,0,0,0
BraA01g000930.3C,AT4G40045,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000940.3C,AT4G40045,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000950.3C,AT4G40050,NA,NA,Protein of unknown function (DUF3550/UPF0682),0,0,0,0,0,0,0
BraA01g000980.3C,AT4G40050,NA,NA,Protein of unknown function (DUF3550/UPF0682),0,0,0,0,0,0,0
BraA01g000990.3C,AT4G40060,ATHB-16,NA,homeobox protein 16,0,0,0,0,0,0,0
BraA01g001000.3C,AT4G40080,PICALM10a,NA,ENTH/ANTH/VHS superfamily protein,0,0,0,0,0,0,0
BraA01g001010.3C,AT4G40090,AGP3,arabinogalactan protein 3,arabinogalactan protein 3,0,0,0,0,0,0,0
BraA01g001020.3C,AT4G38060,CCI2,Clavata complex interactor 2,NA,0,0,0,0,0,0,0
BraA01g001030.3C,AT4G38050,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001040.3C,AT4G38040,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001050.3C,AT4G38030,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001060.3C,AT4G38020,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001070.3C,AT4G38000,DOF4.7,DNA binding with one finger 4.7,NA,0,0,0,0,0,0,0
BraA01g001080.3C,AT4G37980,ATCAD7,NA,elicitor-activated gene 3-1,0,0,0,0,0,0,0
BraA01g001090.3C,AT4G37970,ATCAD6,NA,NA,0,0,0,0,0,0,0
BraA01g001100.3C,AT4G37940,AGL21,AGAMOUS-like 21,NA,0,0,0,0,0,0,0
BraA01g001110.3C,AT4G37930,SHM1,serine transhydroxymethyltransferase 1,NA,0,0,0,0,0,0,0
BraA01g001120.3C,AT4G37920,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001130.3C,AT4G37910,mtHsc70-1,mitochondrial heat shock protein 70-1,NA,0,0,0,0,0,0,0
BraA01g001140.3C,AT4G37880,NA,NA,LisH/CRA/RING-U-box domains-containing protein,0,0,0,0,0,0,0
BraA01g001150.3C,AT4G37870,PCK1,phosphoenolpyruvate carboxykinase 1,phosphoenolpyruvate carboxykinase 1,0,0,0,0,0,0,0
BraA01g001160.3C,AT4G37860,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001170.3C,AT4G37850,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001180.3C,AT4G37840,HKL3,hexokinase-like 3,NA,0,0,0,0,0,0,0
BraA01g001190.3C,AT4G37810,AtEPFL2,NA,NA,0,0,0,0,0,0,0
BraA01g001200.3C,AT4G37790,ABIG1,ABA INSENSITIVE GROWTH 1,Homeobox-leucine zipper protein family,0,0,0,0,0,0,0
BraA01g001210.3C,AT4G37780,ATMYB87,NA,NA,0,0,0,0,0,0,0
BraA01g001220.3C,AT4G37770,ACS8,1-amino-cyclopropane-1-carboxylate synthase 8,NA,0,0,0,0,0,0,0
BraA01g001230.3C,AT4G37760,SQE3,squalene epoxidase 3,NA,0,0,0,0,0,0,0
BraA01g001240.3C,AT4G37750,ANT,AINTEGUMENTA,NA,0,0,0,0,0,0,0
BraA01g001250.3C,AT4G37740,AtGRF2,growth-regulating factor 2,NA,0,0,0,0,0,0,0
BraA01g001260.3C,AT4G37730,AtbZIP7,basic leucine-zipper 7,NA,0,0,0,0,0,0,0
BraA01g001270.3C,AT4G37680,HHP4,heptahelical protein 4,heptahelical protein 4,0,0,0,0,0,0,0
BraA01g001280.3C,AT4G37670,NAGS2,N-acetyl-l-glutamate synthase 2,N-acetyl-l-glutamate synthase 2,0,0,0,0,0,0,0
BraA01g001290.3C,AT4G37650,SGR7,SHOOT GRAVITROPISM 7,NA,0,0,0,0,0,0,0
BraA01g001300.3C,AT4G37610,BT5,BTB and TAZ domain protein 5,NA,0,0,0,0,0,1,0
BraA01g001310.3C,AT4G37580,COP3,CONSTITUTIVE PHOTOMORPHOGENIC 3,NA,0,0,0,0,0,0,0
BraA01g001320.3C,AT4G37560,NA,NA,Acetamidase/Formamidase family protein,0,0,0,0,0,0,0
BraA01g001330.3C,AT4G37550,NA,NA,Acetamidase/Formamidase family protein,0,0,0,0,0,0,0
BraA01g001340.3C,AT4G37540,LBD39,LOB domain-containing protein 39,LOB domain-containing protein 39,0,0,0,0,0,0,0
BraA01g001350.3C,AT4G37520,NA,NA,Peroxidase superfamily protein,0,0,0,0,0,0,0
BraA01g001360.3C,AT4G37520,NA,NA,Peroxidase superfamily protein,0,0,0,0,0,0,0
BraA01g001370.3C,AT4G37510,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001380.3C,AT4G37490,CYC1,CYCLIN 1,NA,0,0,0,0,0,0,0
BraA01g001390.3C,AT1G16490,ATMYB58,MYB DOMAIN PROTEIN 58,myb domain protein 58,0,0,0,0,0,0,0
BraA01g001400.3C,AT4G37460,SRFR1,SUPPRESSOR OF RPS4-RLD 1,NA,0,0,0,0,0,0,0
BraA01g001410.3C,AT4G37450,AGP18,arabinogalactan protein  18,NA,0,0,0,0,0,0,0
BraA01g001420.3C,AT4G37445,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001440.3C,AT4G37440,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001460.3C,AT4G37430,CYP81F1,CYTOCHROME P450 MONOOXYGENASE 81F1,NA,0,0,0,0,0,0,0
BraA01g001470.3C,AT4G37430,CYP81F1,CYTOCHROME P450 MONOOXYGENASE 81F1,NA,0,0,0,0,0,0,0
BraA01g001480.3C,AT4G37420,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001490.3C,AT4G37410,CYP81F4,"cytochrome P450, family 81, subfamily F, polypeptide 4",NA,0,0,0,0,0,0,0
BraA01g001500.3C,AT4G37400,CYP81F3,"cytochrome P450, family 81, subfamily F, polypeptide 3",NA,0,0,0,0,0,0,0
BraA01g001510.3C,AT1G59500,GH3.4,NA,Auxin-responsive GH3 family protein,0,0,0,0,0,0,0
BraA01g001520.3C,AT4G37340,CYP81D3,"cytochrome P450, family 81, subfamily D, polypeptide 3","cytochrome P450, family 81, subfamily D, polypeptide 3",0,0,0,0,0,0,0
BraA01g001530.3C,AT4G37330,CYP81D4,"cytochrome P450, family 81, subfamily D, polypeptide 4","cytochrome P450, family 81, subfamily D, polypeptide 4",0,0,0,0,0,0,0
BraA01g001540.3C,AT4G37310,CYP81H1,"cytochrome P450, family 81, subfamily H, polypeptide 1","cytochrome P450, family 81, subfamily H, polypeptide 1",0,0,0,0,0,0,0
BraA01g001550.3C,AT4G37300,MEE59,maternal effect embryo arrest 59,maternal effect embryo arrest 59,0,0,0,0,0,0,0
BraA01g001560.3C,AT4G37295,PIPL3,MP-INDUCED SECRETED PEPTIDE-LIKE 3,NA,0,0,0,0,0,0,0
BraA01g001570.3C,AT4G37290,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001580.3C,AT4G37280,MRG1,MORF related gene 1,NA,0,0,0,0,0,0,0
BraA01g001590.3C,AT4G37260,ATMYB73,NA,NA,0,0,0,0,0,0,0
BraA01g001610.3C,AT4G37250,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001620.3C,AT4G36880,CP1,cysteine proteinase1,NA,0,0,0,0,0,0,0
BraA01g001630.3C,AT4G36890,IRX14,irregular xylem 14,NA,0,0,0,0,0,0,0
BraA01g001640.3C,AT4G36900,DEAR4,DREB AND EAR MOTIF PROTEIN 4,NA,0,0,0,0,0,0,0
BraA01g001650.3C,AT4G36910,CBSX1,CBS domain containing protein 1,NA,0,0,0,0,0,0,0
BraA01g001660.3C,AT4G24770,ATRBP31,"ARABIDOPSIS THALIANA RNA BINDING PROTEIN, APPROXIMATELY 31 KD",31-kDa RNA binding protein,0,0,0,0,0,0,0
BraA01g001670.3C,AT4G36920,AP2,APETALA 2,Integrase-type DNA-binding superfamily protein,0,0,0,0,0,0,0
BraA01g001690.3C,AT4G36930,SPT,SPATULA,NA,0,0,0,0,0,0,0
BraA01g001700.3C,AT4G36950,MAPKKK21,mitogen-activated protein kinase kinase kinase 21,NA,0,0,0,0,0,0,0
BraA01g001710.3C,AT4G36960,NA,NA,RNA-binding (RRM/RBD/RNP motifs) family protein,0,0,0,0,0,0,0
BraA01g001720.3C,AT4G36970,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001730.3C,AT4G36980,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001740.3C,AT4G36990,AT-HSFB1,ARABIDOPSIS THALIANA CLASS B HEAT SHOCK FACTOR B1,NA,0,0,0,0,0,0,0
BraA01g001750.3C,AT4G37000,ACD2,ACCELERATED CELL DEATH 2,NA,0,0,0,0,0,0,0
BraA01g001760.3C,AT4G37040,MAP1D,methionine aminopeptidase 1D,NA,0,0,0,0,0,0,0
BraA01g001770.3C,AT4G37050,AtPLAIVC,phospholipase A IVC,NA,0,0,0,0,0,0,0
BraA01g001780.3C,AT4G37070,AtPLAIVA,phospholipase A IVA,Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein,0,0,0,0,0,0,0
BraA01g001790.3C,AT4G37070,AtPLAIVA,phospholipase A IVA,Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein,0,0,0,0,0,0,0
BraA01g001800.3C,AT4G37080,NA,NA,"Protein of unknown function, DUF547",0,0,0,0,0,0,0
BraA01g001810.3C,AT4G37090,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001820.3C,AT4G37100,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001830.3C,AT4G37110,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001840.3C,AT4G25900,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001850.3C,AT4G37130,NUP58,NA,NA,0,0,0,0,0,0,0
BraA01g001860.3C,AT4G37150,ATMES9,ARABIDOPSIS THALIANA METHYL ESTERASE 9,NA,0,0,0,0,0,0,0
BraA01g001870.3C,AT4G37160,sks15,SKU5  similar 15,NA,0,0,0,0,0,0,0
BraA01g001880.3C,AT4G37170,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001890.3C,AT4G37180,HHO5,HRS1 HOMOLOG5,Homeodomain-like superfamily protein,0,0,0,0,0,0,0
BraA01g001900.3C,AT1G32660,NA,NA,F-box and associated interaction domains-containing protein,0,0,0,0,0,0,0
BraA01g001910.3C,AT4G37200,HCF164,HIGH CHLOROPHYLL FLUORESCENCE 164,NA,0,0,0,0,0,0,0
BraA01g001920.3C,AT4G37210,NA,NA,Tetratricopeptide repeat (TPR)-like superfamily protein,0,0,0,0,0,0,0
BraA01g001930.3C,AT4G37235,CASPL5C1,CASP-like protein 5C1,Uncharacterised protein family (UPF0497),0,0,0,0,0,0,0
BraA01g001950.3C,AT4G37240,NA,NA,NA,0,0,0,0,0,0,0
BraA01g001960.3C,AT4G35910,CTU2,CYTOPLASMIC THIOURIDYLASE 2,Adenine nucleotide alpha hydrolases-like superfamily protein,0,0,0,0,0,0,0
BraA01g001970.3C,AT4G36870,BLH2,BEL1-like homeodomain 2,BEL1-like homeodomain 2,0,0,0,0,0,0,0
BraA01g001980.3C,AT4G36860,DAR1,DA1-RELATED PROTEIN 1,NA,0,0,0,0,0,0,0
BraA01g001990.3C,AT4G36820,MCU4,NA,NA,0,0,0,0,0,0,0
BraA01g002000.3C,AT4G36810,AtGGPPS11,NA,NA,0,0,0,0,0,0,0
BraA01g002010.3C,AT4G36800,RCE1,RUB1 conjugating enzyme 1,RUB1 conjugating enzyme 1,0,0,0,0,0,0,0
BraA01g002020.3C,AT4G36790,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002030.3C,AT4G36780,BEH2,BES1/BZR1 homolog 2,NA,0,0,0,0,0,0,0
BraA01g002040.3C,AT4G36770,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002050.3C,AT5G08335,ATICMTB,ARABIDOPSIS THALIANA ISOPRENYL CYSTEINE METHYLTRANSFERASE B,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,0,0,0,0,0,0,0
BraA01g002060.3C,AT4G36760,APP1,aminopeptidase P1,NA,0,0,0,0,0,0,0
BraA01g002070.3C,AT4G36750,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002080.3C,AT4G36740,ATHB40,homeobox protein 40,NA,0,0,0,0,0,0,0
BraA01g002090.3C,AT4G36730,AtGBF1,NA,G-box binding factor 1,0,0,0,0,0,0,0
BraA01g002100.3C,AT4G36720,HVA22K,HVA22-like protein K,NA,0,0,0,0,0,0,0
BraA01g002110.3C,AT4G36710,AtHAM4,Arabidopsis thaliana HAIRY MERISTEM 4,NA,0,0,0,0,0,0,0
BraA01g002120.3C,AT4G36690,ATU2AF65A,NA,"U2 snRNP auxilliary factor, large subunit, splicing factor",0,0,0,0,0,0,0
BraA01g002130.3C,AT4G36670,AtPLT6,NA,NA,0,0,0,0,0,0,0
BraA01g002140.3C,AT4G36670,AtPLT6,NA,NA,0,0,0,0,0,0,0
BraA01g002150.3C,AT4G36660,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002160.3C,AT3G50690,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002170.3C,AT4G36640,NA,NA,Sec14p-like phosphatidylinositol transfer family protein,0,0,0,0,0,0,0
BraA01g002180.3C,AT4G36620,GATA19,GATA transcription factor 19,NA,0,0,0,0,0,0,0
BraA01g002190.3C,AT4G36610,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002200.3C,AT2G18360,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002210.3C,AT4G36580,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002220.3C,AT4G36570,ATRL3,RAD-like 3,NA,0,0,0,0,0,0,0
BraA01g002230.3C,AT4G36550,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002240.3C,AT4G36530,NA,NA,alpha/beta-Hydrolases superfamily protein,0,0,0,0,0,0,0
BraA01g002250.3C,AT4G36520,AUXILIN-LIKE4,AUXILIN-LIKE4,NA,0,0,0,0,0,0,0
BraA01g002260.3C,AT4G36500,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002270.3C,AT4G36500,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002280.3C,AT4G36470,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002290.3C,AT4G36480,ATLCB1,long-chain base1,long-chain base1,0,0,0,0,0,0,0
BraA01g002300.3C,AT2G18180,NA,NA,Sec14p-like phosphatidylinositol transfer family protein,0,0,0,0,0,0,0
BraA01g002310.3C,AT4G36440,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002320.3C,AT4G36430,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002330.3C,AT4G36410,UBC17,ubiquitin-conjugating enzyme 17,NA,0,0,0,0,0,0,0
BraA01g002340.3C,AT4G36390,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002350.3C,AT4G36380,ROT3,ROTUNDIFOLIA 3,NA,0,0,0,0,0,0,0
BraA01g002360.3C,AT4G36360,BGAL3,beta-galactosidase 3,beta-galactosidase 3,0,0,0,0,0,0,0
BraA01g002370.3C,AT4G36280,AtMORC2,NA,NA,0,0,0,0,0,0,0
BraA01g002380.3C,AT4G36260,SRS2,SHI RELATED SEQUENCE 2,NA,0,0,0,0,0,0,0
BraA01g002390.3C,AT4G36250,ALDH3F1,aldehyde dehydrogenase 3F1,NA,0,0,0,0,0,0,0
BraA01g002400.3C,AT4G36240,GATA7,GATA transcription factor 7,NA,0,0,0,0,0,0,0
BraA01g002410.3C,AT4G36230,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002420.3C,AT4G36220,CYP84A1,CYTOCHROME P450 84A1,NA,0,0,0,0,0,0,0
BraA01g002430.3C,AT4G36210,NA,NA,Protein of unknown function (DUF726),0,0,0,0,0,0,0
BraA01g002440.3C,AT4G36195,NA,NA,Serine carboxypeptidase S28 family protein,0,0,0,0,0,0,0
BraA01g002450.3C,AT4G36180,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002460.3C,AT4G36160,ANAC076,NAC domain containing protein 76,NA,0,0,0,0,0,0,0
BraA01g002470.3C,AT4G36150,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002480.3C,AT4G36140,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002490.3C,AT2G18020,EMB2296,embryo defective 2296,NA,0,0,0,0,1,0,0
BraA01g002500.3C,AT4G36120,NA,NA,NA,0,0,0,0,0,0,0
BraA01g002510.3C,AT4G36110,SAUR9,SMALL AUXIN UPREGULATED RNA 9,NA,0,0,0,0,0,0,0
BraA01g002520.3C,AT2G17990,AtCAP2,Calcium-dependent protein kinase 1 Adaptor Protein 2,NA,0,0,0,0,0,0,0
BraA01g002530.3C,AT4G36090,ALKBH9C,AtALKBH9C,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",0,0,0,0,0,0,0
BraA01g002540.3C,AT4G36080,TRA1b,NA,"phosphotransferases, alcohol group as acceptor;binding;inositol or phosphatidylinositol kinases",0,0,0,0,0,0,0
BraA01g002550.3C,AT4G36060,bHLH11,basic Helix-Loop-Helix 11,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,0,0,0,0,0,0,0
