AGI,IAA,X1,name,chrom,start,end,subject,At_symbol,At_full_name,At_gene_model_type,At_short_description,At_Curator_summary,At_Computational_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
AT1G70940,up,29874,BraA07g035620.3C,A07,25125994,25128687,AT1G70940.1,ATPIN3,ARABIDOPSIS PIN-FORMED 3,protein_coding,Auxin efflux carrier family protein,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in regulating PIN3 trafficking to  the plasma membrane. The mRNA is cell-to-cell mobile.",Auxin efflux carrier family protein;(source:Araport11),85.884,1941,217,9,1,1902,1,1923,0,2277
AT1G18570,up,33220,BraA08g028700.3C,A08,19976006,19977544,AT1G18570.1,AtMYB51,myb domain protein 51,protein_coding,myb domain protein 51,Encodes a member of the R2R3-MYB transcription family. Involved in indole glucosinolate biosynthesis. The mRNA is cell-to-cell mobile.,myb domain protein 51;(source:Araport11),79.888,1074,129,8,1,1002,1,1059,0,1005
AT2G22830,up,16591,BraA04g016830.3C,A04,12835738,12838847,AT2G22830.1,SQE2,squalene epoxidase 2,NA,NA,NA,NA,87.679,1469,166,2,502,1961,292,1754,0,1838
AT2G22880,up,39029,BraA09g054500.3C,A09,39421477,39421893,AT2G22880.1,VQ12,NA,NA,NA,NA,NA,71.709,357,56,6,61,417,34,345,8.28e-52,203
AT2G35930,up,17502,BraA04g025550.3C,A04,18292183,18293421,AT2G35930.1,AtPUB23,NA,protein_coding,plant U-box 23,Encodes a cytoplasmically localized U-box domain containing E3 ubiquitin ligase that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity.,plant U-box 23;(source:Araport11),88.979,1234,118,2,1,1234,16,1231,0,1620
AT1G78120,up,30437,BraA07g041250.3C,A07,27873600,27876132,AT1G78120.1,TPR12,tetratricopeptide repeat 12,protein_coding,Tetratricopeptide repeat (TPR)-like superfamily protein,"Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.",Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11),86.192,1586,201,4,1,1571,1,1583,0,1871
AT1G80840,up,30586,BraA07g042700.3C,A07,28507036,28508574,AT1G80840.1,ATWRKY40,NA,protein_coding,WRKY DNA-binding protein 40,"Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Coexpression with WRKY18 or WRKY60 made plants more susceptible to both P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two. The mRNA is cell-to-cell mobile.",WRKY DNA-binding protein 40;(source:Araport11),86.885,915,102,4,1,903,1,909,0,1108
AT3G25710,up,25923,BraA06g038800.3C,A06,25834480,25835779,AT3G25710.1,ATAIG1,NA,NA,NA,NA,NA,87.415,1033,89,11,1,999,10,1035,0,1265
AT4G36500,up,14749,BraA03g060060.3C,A03,31945481,31945849,AT4G36500.1,NA,NA,NA,NA,NA,NA,91.87,369,30,0,1,369,1,369,1.15e-150,531
AT5G40540,up,16238,BraA04g013180.3C,A04,10328215,10329779,AT5G40540.1,NA,NA,protein_coding,Protein kinase superfamily protein,NA,Protein kinase superfamily protein;(source:Araport11),89.877,1057,98,1,1,1048,1,1057,0,1427
AT1G02400,up,40397,BraA10g001200.3C,A10,624192,626567,AT1G02400.1,ATGA2OX4,Arabidopsis thaliana gibberellin 2-oxidase 4,protein_coding,gibberellin 2-oxidase 6,Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.,gibberellin 2-oxidase 6;(source:Araport11),88.372,989,115,0,1,989,1,989,0,1265
AT2G40000,up,10850,BraA03g021170.3C,A03,10092281,10093555,AT2G40000.1,ATHSPRO2,ARABIDOPSIS ORTHOLOG OF SUGAR BEET HS1 PRO-1 2,NA,NA,NA,NA,79.756,1314,221,5,1,1275,1,1308,0,1189
AT1G72520,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT4G17460,up,1983,BraA01g019200.3C,A01,10200143,10201236,AT4G17460.1,HAT1,NA,NA,NA,NA,NA,85.915,852,93,4,1,828,1,849,0,1002
AT5G13190,up,4788,BraA02g004710.3C,A02,2280576,2281763,AT5G13190.1,AtGILP,NA,protein_coding,NA,Encodes a plasma membrane localized LITAF domain protein that interacts with LSD1 and acts as a negative regulation of hypersensitive cell death.,GSH-induced LITAF domain protein;(source:Araport11),89.63,405,42,0,1,405,1,405,7e-154,542
AT2G32020,up,17236,BraA04g023120.3C,A04,17035377,17035931,AT2G32020.1,NA,NA,protein_coding,Acyl-CoA N-acyltransferases (NAT) superfamily protein,NA,Acyl-CoA N-acyltransferases (NAT) superfamily protein;(source:Araport11),86.871,556,68,2,1,555,1,552,0,670
AT1G19050,up,33188,BraA08g028390.3C,A08,19836772,19837874,AT1G19050.1,ARR7,response regulator 7,protein_coding,response regulator 7,"Encodes a member of the Arabidopsis response regulator (ARR) family, most closely related to ARR15. A two-component response regulator protein containing a phosphate accepting domain in the receiver domain but lacking a DNA binding domain in the output domain. Involved in response to cytokinin and meristem stem cell maintenance. Arr7 protein is stabilized by cytokinin.",response regulator 7;(source:Araport11),87.662,616,70,2,1,613,1,613,0,765
AT4G00770,up,11751,BraA03g029930.3C,A03,15069450,15071131,AT4G00770.1,TRM9,TON1 Recruiting Motif 9,NA,NA,NA,NA,79.688,1280,164,15,1,1208,1,1256,0,1155
AT3G25780,up,36387,BraA09g024530.3C,A09,16445790,16446648,AT3G25780.1,AOC3,allene oxide cyclase 3,NA,NA,NA,NA,85.586,777,95,7,1,761,1,776,0,881
AT4G08950,up,11419,BraA03g026740.3C,A03,13232902,13233846,AT4G08950.1,EXO,EXORDIUM,protein_coding,Phosphate-responsive 1 family protein,NA,Phosphate-responsive 1 family protein;(source:Araport11),83.193,952,146,6,1,945,1,945,0,982
AT2G37030,up,10648,BraA03g019280.3C,A03,9111826,9112200,AT2G37030.1,SAUR46,SMALL AUXIN UPREGULATED RNA 46,NA,NA,NA,NA,88.533,375,43,0,1,375,1,375,5.3e-136,482
AT2G46400,up,11146,BraA03g024160.3C,A03,11893145,11894176,AT2G46400.1,ATWRKY46,WRKY DNA-BINDING PROTEIN 46,protein_coding,WRKY DNA-binding protein 46,Encodes a WRKY transcription factor that contributes to the feedforward inhibition of osmotic/salt stress-dependent LR inhibition via regulation of ABA signaling and auxin   homeostasis.,WRKY DNA-binding protein 46;(source:Araport11),77.951,898,126,13,7,850,7,886,0,733
AT5G64770,up,24887,BraA06g028220.3C,A06,19617300,19617667,AT5G64770.1,CLEL 9,CLE-like 9,protein_coding,NA,"Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).",root meristem growth factor;(source:Araport11),83.75,240,39,0,1,240,1,240,2.39e-68,257
AT1G18400,up,23704,BraA06g014030.3C,A06,7418913,7420371,AT1G18400.1,BEE1,BR enhanced expression 1,protein_coding,BR enhanced expression 1,Encodes the brassinosteroid signaling component BEE1 (BR-ENHANCED EXPRESSION 1). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.,BR enhanced expression 1;(source:Araport11),86.541,795,92,3,1,792,1,783,0,951
AT3G55980,up,38219,BraA09g046730.3C,A09,35526732,35528369,AT3G55980.1,ATSZF1,NA,protein_coding,NA,NA,salt-inducible zinc finger 1;(source:Araport11),81.596,1679,241,14,6,1638,87,1743,0,1633
AT1G54200,up,22322,BraA06g000800.3C,A06,523000,523986,AT1G54200.1,BG3,BIG GRAIN 3,protein_coding,NA,NA,DNA mismatch repair Msh6-like protein;(source:Araport11),66.147,1155,169,27,1,987,1,1101,1.37e-110,399
AT4G34770,up,31915,BraA08g015710.3C,A08,12891929,12892243,AT4G34770.1,SAUR1,SMALL AUXIN UPREGULATED RNA 1,NA,NA,NA,NA,91.429,315,27,0,1,315,1,315,3.16e-125,446
AT2G41100,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT5G15160,up,4912,BraA02g005890.3C,A02,2799980,2800926,AT5G15160.1,BHLH134,BASIC HELIX-LOOP-HELIX PROTEIN 134,protein_coding,BANQUO 2,BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.,BANQUO 2;(source:Araport11),92.832,279,20,0,4,282,7,285,1.65e-115,414
AT3G42800,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G58340,up,35787,BraA09g018010.3C,A09,11352925,11354793,AT1G58340.1,ABS4,Arabidopsis abnormal shoot4,protein_coding,MATE efflux family protein,Encodes a plant MATE (multidrug and toxic compound extrusion) transporter that is localized to the Golgi complex and small organelles and is involved in determining the rate of organ initiation.  It is also involved in iron homeostasis when plants are under osmotic stress.,MATE efflux family protein;(source:Araport11),88.702,1602,175,2,1,1599,1,1599,0,2069
AT3G19380,up,20734,BraA05g027910.3C,A05,20909112,20910380,AT3G19380.1,PUB25,plant U-box 25,NA,NA,NA,NA,81.406,1280,213,7,1,1269,1,1266,0,1227
AT4G24570,up,1612,BraA01g015350.3C,A01,8148016,8148963,AT4G24570.1,DIC2,dicarboxylate carrier 2,NA,NA,NA,NA,83.854,960,125,5,1,948,1,942,0,1038
AT1G02810,up,33939,BraA08g035580.3C,A08,22802456,22804439,AT1G02810.1,NA,NA,protein_coding,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11),87.256,1742,207,2,1,1730,1,1739,0,2145
AT3G50930,up,37803,BraA09g042200.3C,A09,32860138,32861754,AT3G50930.1,AtBCS1,NA,NA,NA,NA,NA,85.112,1612,231,4,1,1610,127,1731,0,1815
AT5G47230,up,36217,BraA09g022620.3C,A09,15005042,15005926,AT5G47230.1,ATERF-5,ETHYLENE RESPONSIVE ELEMENT BINDING FACTOR- 5,protein_coding,ethylene responsive element binding factor 5,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-5). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. The mRNA is cell-to-cell mobile.",ethylene responsive element binding factor 5;(source:Araport11),80.022,921,130,12,1,885,1,903,0,827
AT1G29460,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G80240,up,28841,BraA07g025710.3C,A07,19762652,19764036,AT1G80240.1,DGR1,DUF642  L-GalL responsive gene 1,protein_coding,"Protein of unknown function, DUF642",NA,"choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642);(source:Araport11)",86.114,1109,151,1,1,1109,4,1109,0,1305
AT5G50335,up,41040,BraA10g008660.3C,A10,6448899,6449123,AT5G50335.1,NA,NA,protein_coding,NA,NA,hypothetical protein;(source:Araport11),84.889,225,34,0,1,225,1,225,2.67e-67,253
AT2G38470,up,10747,BraA03g020140.3C,A03,9612695,9614600,AT2G38470.1,ATWRKY33,WRKY DNA-BINDING PROTEIN 33,protein_coding,WRKY DNA-binding protein 33,Member of the plant WRKY transcription factor family.  Regulates the antagonistic relationship between defense pathways mediating responses to P. syringae and necrotrophic fungal pathogens.  Located in nucleus. Involved in response to various abiotic stresses - especially salt stress.,WRKY DNA-binding protein 33;(source:Araport11),81.884,1518,153,18,1,1412,49,1550,0,1526
AT4G09890,up,36731,BraA09g028540.3C,A09,19568428,19568691,AT4G09890.1,NA,NA,protein_coding,Protein of unknown function (DUF3511),NA,"mediator of RNA polymerase II transcription subunit, putative (DUF3511);(source:Araport11)",90.494,263,25,0,1,263,1,263,8.51e-100,361
AT2G28350,up,28136,BraA07g018740.3C,A07,15928235,15930610,AT2G28350.1,ARF10,auxin response factor 10,protein_coding,auxin response factor 10,Involved in root cap cell differentiation.,auxin response factor 10;(source:Araport11),83.868,2151,245,17,1,2118,1,2082,0,2331
AT3G58120,up,38403,BraA09g048650.3C,A09,36530508,36532349,AT3G58120.1,ATBZIP61,NA,protein_coding,NA,Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP34. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells.,Basic-leucine zipper (bZIP) transcription factor family protein;(source:Araport11),86.523,972,101,8,7,957,28,990,0,1153
AT2G26710,up,28048,BraA07g017820.3C,A07,15310077,15313211,AT2G26710.1,BAS1,PHYB ACTIVATION TAGGED SUPPRESSOR 1,protein_coding,Cytochrome P450 superfamily protein,Encodes a member of the cytochrome p450 family that serves as a control point between multiple photoreceptor systems and brassinosteroid signal transduction. Involved in brassinolide metabolism. Mediates response to a variety of light signals including hypocotyl elongation and cotyledon expansion.,Cytochrome P450 superfamily protein;(source:Araport11),86.893,1564,200,4,1,1563,1,1560,0,1884
AT4G30280,up,32152,BraA08g018130.3C,A08,14444242,14445403,AT4G30280.1,ATXTH18,XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 18,NA,NA,NA,NA,88.693,849,96,0,1,849,1,849,0,1099
AT3G60550,up,38590,BraA09g050340.3C,A09,37331296,37332086,AT3G60550.1,CYCP3;2,cyclin p3;2,NA,NA,NA,NA,89.886,702,62,1,1,702,1,693,0,949
AT3G23250,up,27308,BraA07g009880.3C,A07,9814317,9815468,AT3G23250.1,ATMYB15,MYB DOMAIN PROTEIN 15,protein_coding,myb domain protein 15,Member of the R2R3 factor gene family.,myb domain protein 15;(source:Araport11),85.93,860,115,2,1,857,1,857,0,1002
AT5G43700,up,35974,BraA09g019950.3C,A09,12909318,12909909,AT5G43700.1,ATAUX2-11,AUXIN INDUCIBLE 2-11,protein_coding,AUX/IAA transcriptional regulator family protein,Auxin inducible protein similar to transcription factors.,AUX/IAA transcriptional regulator family protein;(source:Araport11),87.302,504,40,2,1,501,1,483,0,634
AT4G16515,up,2066,BraA01g020060.3C,A01,10778767,10779039,AT4G16515.1,CLEL 6,CLE-like 6,protein_coding,NA,"Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).",root meristem growth factor;(source:Araport11),81.522,276,33,3,1,273,1,261,1.23e-72,271
AT4G38860,up,16,BraA01g000150.3C,A01,88205,88522,AT4G38860.1,SAUR16,SMALL AUXIN UPREGULATED RNA 16,protein_coding,SAUR-like auxin-responsive protein family,NA,SAUR-like auxin-responsive protein family;(source:Araport11),93.987,316,19,0,1,316,1,316,1.27e-136,484
AT4G25420,up,1689,BraA01g016120.3C,A01,8541498,8542937,AT4G25420.1,AT2301,NA,protein_coding,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Encodes gibberellin 20-oxidase that is involved in the later steps of the gibberellin biosynthetic pathway. Regulated by a circadian clock. Weak expression response to far red light.,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11),86.392,1139,139,4,1,1128,1,1134,0,1352
AT1G30370,up,27369,BraA07g010560.3C,A07,10429162,10430754,AT1G30370.1,DLAH,DAD1-like acylhydrolase,protein_coding,alpha/beta-Hydrolases superfamily protein,Encodes a mitochondria-localized class III phospholipase A1 that plays a role in seed viability.,alpha/beta-Hydrolases superfamily protein;(source:Araport11),88.476,1588,180,1,1,1588,1,1585,0,2037
AT3G03830,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G42430,up,18513,BraA05g002910.3C,A05,1550154,1551187,AT2G42430.1,ASL18,ASYMMETRIC LEAVES2-LIKE 18,protein_coding,lateral organ boundaries-domain 16,LOB-domain protein gene LBD16. This gene contains one auxin-responsive element (AuxRE).,lateral organ boundaries-domain 16;(source:Araport11),90.379,738,68,1,1,735,1,738,0,1009
AT1G65920,up,24441,BraA06g022550.3C,A06,14358592,14364373,AT1G65920.1,NA,NA,protein_coding,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain,NA,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein;(source:Araport11),83.039,3060,429,13,1,3009,1,3021,0,3202
AT1G51170,up,22533,BraA06g002770.3C,A06,1659390,1660532,AT1G51170.1,AGC2-3,AGC2 kinase 3,protein_coding,Protein kinase superfamily protein,"Encodes an active AGC VIII protein kinase that interacts with the putative transcription factor ATS and regulates planar growth during integument development in the ovule.  Mutants exhibit ectopic growth in filaments and petals, as well as aberrant embryogenesis.",Protein kinase superfamily protein;(source:Araport11),81.947,637,80,5,13,616,40,674,0,639
AT3G14370,up,21211,BraA05g032690.3C,A05,23658482,23659921,AT3G14370.1,WAG2,NA,NA,NA,NA,NA,88.788,1436,161,0,5,1440,8,1443,0,1864
AT5G02760,up,4372,BraA02g000590.3C,A02,357676,359003,AT5G02760.1,APD7,Arabidopsis Pp2c clade D 7,protein_coding,Protein phosphatase 2C family protein,Encodes a phosphatase that functions in sustaining proper leaf longevity and preventing early senescence by suppressing or perturbing SARK-mediated senescence signal transduction.,Protein phosphatase 2C family protein;(source:Araport11),88.816,1064,119,0,18,1081,39,1102,0,1382
AT1G29510,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT2G40140,up,18836,BraA05g005940.3C,A05,2989855,2991525,AT2G40140.1,ATSZF2,NA,protein_coding,zinc finger (CCCH-type) family protein,NA,zinc finger (CCCH-type) family protein;(source:Araport11),78.017,1815,234,17,1,1671,1,1794,0,1546
AT5G51190,up,41073,BraA10g009420.3C,A10,7238230,7238883,AT5G51190.1,ERF105,ethylene response factor 105,protein_coding,Integrase-type DNA-binding superfamily protein,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.",Integrase-type DNA-binding superfamily protein;(source:Araport11),83.619,641,93,2,12,649,30,661,0,684
AT5G57560,up,41582,BraA10g015660.3C,A10,12230802,12231731,AT5G57560.1,AtXTH22,NA,protein_coding,Xyloglucan endotransglucosylase/hydrolase family protein,"Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli.",Xyloglucan endotransglucosylase/hydrolase family protein;(source:Araport11),90.058,855,82,1,1,852,1,855,0,1157
AT5G59820,up,5413,BraA02g010660.3C,A02,5198700,5199173,AT5G59820.1,AtZAT12,NA,protein_coding,C2H2-type zinc finger family protein,"Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. The mRNA is cell-to-cell mobile.",C2H2-type zinc finger family protein;(source:Araport11),84.76,479,58,5,8,474,14,489,6.36e-149,526
AT2G32030,up,17237,BraA04g023130.3C,A04,17037653,17038252,AT2G32030.1,NA,NA,protein_coding,Acyl-CoA N-acyltransferases (NAT) superfamily protein,NA,Acyl-CoA N-acyltransferases (NAT) superfamily protein;(source:Araport11),86.898,519,68,0,80,598,47,565,2.65e-180,630
AT2G37430,up,19047,BraA05g008090.3C,A05,4153479,4154021,AT2G37430.1,ZAT11,zinc finger of Arabidopsis thaliana 11,protein_coding,C2H2 and C2HC zinc fingers superfamily protein,"Encodes a member of the zinc finger family of transcriptional regulators. It is expressed in many root tips, primary roots, cotyledons and hypocotyl. The protein is localized to the nucleus. Overexpression of ZAT11 causes increased root growth and increased sensitivity to nickel ions. The mRNA is cell-to-cell mobile.",C2H2 and C2HC zinc fingers superfamily protein;(source:Araport11),86.74,543,66,2,1,543,1,537,0,652
AT5G12940,up,42612,BraA10g025760.3C,A10,17281317,17282441,AT5G12940.1,NA,NA,protein_coding,Leucine-rich repeat (LRR) family protein,NA,Leucine-rich repeat (LRR) family protein;(source:Araport11),82.709,1122,186,3,5,1125,2,1116,0,1142
AT1G04240,up,40548,BraA10g002780.3C,A10,1435434,1436156,AT1G04240.1,IAA3,indole-3-acetic acid inducible 3,protein_coding,AUX/IAA transcriptional regulator family protein,"SHY2/IAA3 regulates multiple auxin responses in roots. It is induced rapidly by IAA, and has been shown to be phosphorylated by oat phytochrome A in vitro.",AUX/IAA transcriptional regulator family protein;(source:Araport11),86.387,573,63,2,1,561,1,570,0,686
AT1G29500,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT4G11280,up,36640,BraA09g027250.3C,A09,18581695,18583437,AT4G11280.1,ACS6,1-aminocyclopropane-1-carboxylic acid (acc) synthase 6,NA,NA,NA,NA,85.071,1487,169,7,1,1438,1,1483,0,1698
AT3G10930,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G57560,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT4G17490,up,31623,BraA08g012430.3C,A08,10762862,10769437,AT4G17490.1,ATERF6,ethylene responsive element binding factor 6,NA,NA,NA,NA,77.489,884,118,14,1,842,1,845,0,708
AT5G41400,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT5G51810,up,41131,BraA10g010400.3C,A10,8540342,8541739,AT5G51810.1,AT2353,NA,protein_coding,gibberellin 20 oxidase 2,Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock.,gibberellin 20 oxidase 2;(source:Araport11),89.027,1130,118,1,1,1130,1,1124,0,1480
AT1G05575,up,40706,BraA10g004400.3C,A10,2316516,2316785,AT1G05575.1,NA,NA,protein_coding,NA,NA,transmembrane protein;(source:Araport11),83.019,265,42,1,1,265,1,262,3.48e-73,273
AT2G26530,up,11286,BraA03g025460.3C,A03,12566404,12567318,AT2G26530.1,AR781,NA,protein_coding,Protein of unknown function (DUF1645),unknown function,"AR781, pheromone receptor-like protein (DUF1645);(source:Araport11)",75.745,973,159,12,1,915,1,954,0,706
